前項(購買A),後項(購買B),antecedent support,consequent support,支持度,信賴度,提升度,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
多線路服務,無限資料下載,0.41579406631762655,0.662303664921466,0.31239092495637,0.751311647429171,1.1343914992804083,1.0,0.03700899098160687,1.3579097355689573,0.202788289434707,0.40797720797720805,0.2635740257204909,0.6114924508555605
多線路服務,網路服務,0.41579406631762655,0.7670157068062827,0.36300174520069806,0.8730325288562433,1.1382198840378326,1.0,0.04408116553822533,1.8349919951538203,0.2078635749985636,0.4427887174028738,0.4550384946414037,0.6731488014019555
多線路服務,電話服務,0.41579406631762655,0.9061954624781849,0.41579406631762655,1.0,1.1035146846413095,1.0,0.03900337009523985,inf,0.16056758775205382,0.45883485796822343,1.0,0.7294174289841118
技術支援計劃,無限資料下載,0.2905759162303665,0.662303664921466,0.24956369982547993,0.8588588588588588,1.2967750359054706,1.0,0.057114205568195325,2.3926144591734424,0.32259437978995176,0.3548387096774194,0.5820471634425122,0.6178352265308786
技術支援計劃,網路服務,0.2905759162303665,0.7670157068062827,0.2905759162303665,1.0,1.3037542662116042,1.0,0.06769962446204875,inf,0.3284132841328414,0.3788395904436859,1.0,0.689419795221843
網路服務,無限資料下載,0.7670157068062827,0.662303664921466,0.662303664921466,0.863481228668942,1.303754266211604,1.0,0.1543063512513363,2.4736256544502613,0.9999999999999998,0.8634812286689421,0.5957351112522157,0.931740614334471
無限資料下載,網路服務,0.662303664921466,0.7670157068062827,0.662303664921466,1.0,1.3037542662116042,1.0,0.1543063512513363,inf,0.6899224806201549,0.8634812286689421,1.0,0.931740614334471
線上備份服務,無限資料下載,0.3267888307155323,0.662303664921466,0.2805410122164049,0.8584779706275033,1.2961999398407362,1.0,0.06410757197810732,2.3861750469228484,0.33943893507930756,0.39593596059113306,0.5809192618581881,0.6410308166708004
線上安全服務,無限資料下載,0.2962478184991274,0.662303664921466,0.25654450261780104,0.8659793814432989,1.3075261806772338,1.0,0.06033848670083969,2.51973419250906,0.334204233460278,0.36544437538844,0.6031327419483734,0.6266655800497127
設備保護計劃,無限資料下載,0.3403141361256545,0.662303664921466,0.29842931937172773,0.8769230769230768,1.3240498631802977,1.0,0.07303801979112412,2.743782722513086,0.3709969367864104,0.4237918215613382,0.6355396541443049,0.6637579811492854
電影節目,無限資料下載,0.39048865619546247,0.662303664921466,0.33856893542757416,0.8670391061452514,1.3091262393181267,1.0,0.07994686731906103,2.5398169739099825,0.3874115372410687,0.47403787416004894,0.6062708414533801,0.689119026063403
電視節目,無限資料下載,0.38219895287958117,0.662303664921466,0.33507853403141363,0.8767123287671234,1.323731658454708,1.0,0.08194676681012036,2.7390924956369997,0.395855402542373,0.4723247232472324,0.6349155782096211,0.6913205912610321
音樂節目,無限資料下載,0.3568935427574171,0.662303664921466,0.3106457242582897,0.8704156479217604,1.3142244170202073,1.0,0.07427382290324644,2.605996246172084,0.3717812876374004,0.43842364532019695,0.6162695930706393,0.6697269280452016
