antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'電話服務', '電影節目', '設備保護計劃'})","frozenset({'音樂節目', '多線路服務'})",0.1862272240085745,0.20069667738478028,0.12808145766345122,0.6877697841726618,3.426911661591954,1.0,0.09070627256633913,2.559980687638606,0.8702577554650247,0.494824016563147,0.6093720531452812,0.6629770149167714
"frozenset({'電話服務', '音樂節目', '設備保護計劃'})","frozenset({'電影節目', '多線路服務'})",0.1862272240085745,0.20069667738478028,0.12808145766345122,0.6877697841726618,3.426911661591954,1.0,0.09070627256633913,2.559980687638606,0.8702577554650247,0.494824016563147,0.6093720531452812,0.6629770149167714
"frozenset({'電影節目', '多線路服務'})","frozenset({'電話服務', '音樂節目', '設備保護計劃'})",0.20069667738478028,0.1862272240085745,0.12808145766345122,0.638184245660881,3.426911661591954,1.0,0.09070627256633913,2.2491358273711346,0.8860116672300637,0.494824016563147,0.5553847892019783,0.6629770149167714
"frozenset({'音樂節目', '多線路服務'})","frozenset({'電話服務', '電影節目', '設備保護計劃'})",0.20069667738478028,0.1862272240085745,0.12808145766345122,0.638184245660881,3.426911661591954,1.0,0.09070627256633913,2.2491358273711346,0.8860116672300637,0.494824016563147,0.5553847892019783,0.6629770149167714
"frozenset({'電影節目', '無限資料下載', '網路類型_Fiber Optic'})","frozenset({'電話服務', '電視節目', '音樂節目'})",0.18569131832797428,0.22936763129689175,0.1420150053590568,0.7647907647907648,3.334344782942914,1.0,0.09942342752177225,3.276369518473951,0.8597366313397529,0.520117762512267,0.6947841217660411,0.6919748216477188
"frozenset({'音樂節目', '無限資料下載', '網路類型_Fiber Optic'})","frozenset({'電話服務', '電視節目', '電影節目'})",0.18569131832797428,0.22936763129689175,0.1420150053590568,0.7647907647907648,3.334344782942914,1.0,0.09942342752177225,3.276369518473951,0.8597366313397529,0.520117762512267,0.6947841217660411,0.6919748216477188
"frozenset({'電話服務', '電視節目', '電影節目'})","frozenset({'音樂節目', '無限資料下載', '網路類型_Fiber Optic'})",0.22936763129689175,0.18569131832797428,0.1420150053590568,0.6191588785046729,3.334344782942914,1.0,0.09942342752177225,2.1381847592369754,0.908463012045031,0.520117762512267,0.5323135684697069,0.6919748216477188
"frozenset({'電話服務', '電視節目', '音樂節目'})","frozenset({'電影節目', '無限資料下載', '網路類型_Fiber Optic'})",0.22936763129689175,0.18569131832797428,0.1420150053590568,0.6191588785046729,3.334344782942914,1.0,0.09942342752177225,2.1381847592369754,0.908463012045031,0.520117762512267,0.5323135684697069,0.6919748216477188
"frozenset({'電影節目', '多線路服務'})","frozenset({'音樂節目', '網路類型_Fiber Optic'})",0.20069667738478028,0.21302250803858522,0.1422829581993569,0.7089452603471295,3.3280298259314303,1.0,0.0995300486278402,2.7038813829316495,0.875164538789487,0.5241855873642645,0.6301612909824607,0.6884348943245081
"frozenset({'音樂節目', '多線路服務'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.20069667738478028,0.21302250803858522,0.1422829581993569,0.7089452603471295,3.3280298259314303,1.0,0.0995300486278402,2.7038813829316495,0.875164538789487,0.5241855873642645,0.6301612909824607,0.6884348943245081
