antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'音樂節目', '多線路服務'})","frozenset({'電影節目', '電話服務'})",0.1442199775533109,0.41301907968574636,0.1442199775533109,1.0,2.421195652173913,1.0,0.08465437515194343,inf,0.6859016393442623,0.3491847826086956,1.0,0.6745923913043479
"frozenset({'音樂節目', '網路類型_Fiber Optic'})","frozenset({'電影節目', '電話服務'})",0.16217732884399552,0.41301907968574636,0.16217732884399552,1.0,2.421195652173913,1.0,0.09519499773895584,inf,0.7006028131279303,0.39266304347826086,1.0,0.6963315217391304
"frozenset({'網路類型_Fiber Optic', '電影節目', '設備保護計劃'})","frozenset({'多線路服務', '電視節目'})",0.17732884399551066,0.2884399551066218,0.12289562289562289,0.6930379746835443,2.402711421957346,1.0,0.07174689909444866,2.3180718988279128,0.7096438605343649,0.35842880523731585,0.5686069959669369,0.559554006797025
"frozenset({'電視節目', '網路類型_Fiber Optic', '設備保護計劃'})","frozenset({'電影節目', '多線路服務'})",0.1739618406285073,0.2940516273849607,0.12289562289562289,0.7064516129032258,2.402474759911352,1.0,0.07174186055592714,2.404879071545738,0.7067016577327775,0.35609756097560974,0.5841786758295296,0.5621952721004678
"frozenset({'音樂節目', '網路類型_Fiber Optic'})","frozenset({'電影節目', '無限資料下載', '電話服務'})",0.16217732884399552,0.3552188552188552,0.13748597081930417,0.8477508650519031,2.386559307302514,1.0,0.07987752572488825,4.235039791857973,0.6934483371379362,0.36189069423929104,0.7638747097671813,0.6173983393190006
"frozenset({'音樂節目', '多線路服務'})","frozenset({'電影節目', '無限資料下載', '電話服務'})",0.1442199775533109,0.3552188552188552,0.12121212121212122,0.8404669260700389,2.366053810832242,1.0,0.06998246588594512,4.0416769319208345,0.6746539162112932,0.32047477744807124,0.7525779480041856,0.5908495767790953
"frozenset({'多線路服務', '網路類型_Fiber Optic', '設備保護計劃'})","frozenset({'電影節目', '電視節目', '電話服務'})",0.18686868686868688,0.2940516273849607,0.12289562289562289,0.6576576576576576,2.2365380647823394,1.0,0.06794658141459488,2.0621123515860353,0.6799398735074732,0.3432601880877743,0.5150603703862845,0.5377982944776838
"frozenset({'電視節目', '設備保護計劃', '電話服務'})","frozenset({'電影節目', '多線路服務'})",0.2255892255892256,0.2940516273849607,0.14814814814814814,0.6567164179104478,2.233337131138202,1.0,0.08181326924312333,2.0564583028351144,0.7131093544137023,0.3987915407854985,0.5137270721116199,0.5802666059017887
"frozenset({'音樂節目', '電話服務'})","frozenset({'電影節目', '多線路服務'})",0.21997755331088664,0.2940516273849607,0.1442199775533109,0.6556122448979592,2.229582100015579,1.0,0.07953522001408272,2.049864904185892,0.7070122890014837,0.38998482549317154,0.5121629732974271,0.5730351300825675
"frozenset({'電影節目', '設備保護計劃', '電話服務'})","frozenset({'多線路服務', '電視節目'})",0.23063973063973064,0.2884399551066218,0.14814814814814814,0.6423357664233577,2.226930614331563,1.0,0.08162243459662089,1.9894637989876085,0.7161163052847953,0.3993948562783661,0.49735199981579126,0.5779772217330796
"frozenset({'音樂節目', '電話服務'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.21997755331088664,0.33221099887766553,0.16217732884399552,0.7372448979591837,2.2192067705460565,1.0,0.08909836612792095,2.5414882372811176,0.7043240148365736,0.4158273381294965,0.6065297547590466,0.6127102868174297
"frozenset({'音樂節目', '無限資料下載', '電話服務'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.18742985409652077,0.33221099887766553,0.13748597081930417,0.7335329341317366,2.208033257808707,1.0,0.07521971177040389,2.50608456600966,0.6733058969444132,0.3597650513950074,0.6009711669098778,0.573692142741544
"frozenset({'無限資料下載', '電影節目', '設備保護計劃', '電話服務'})","frozenset({'多線路服務', '電視節目'})",0.19753086419753085,0.2884399551066218,0.12570145903479238,0.6363636363636365,2.2062256809338523,1.0,0.06872566543348438,1.9567901234567906,0.6813186813186813,0.34890965732087226,0.4889589905362777,0.5360806508666431
frozenset({'音樂節目'}),frozenset({'電影節目'}),0.2441077441077441,0.45454545454545453,0.2441077441077441,1.0,2.2,1.0,0.13314967860422405,inf,0.7216035634743876,0.5370370370370371,1.0,0.7685185185185186
"frozenset({'無限資料下載', '電視節目', '設備保護計劃', '電話服務'})","frozenset({'電影節目', '多線路服務'})",0.1947250280583614,0.2940516273849607,0.12570145903479238,0.6455331412103746,2.1953054535055108,1.0,0.06844224764164908,1.991577929247306,0.6761448481831758,0.3462132921174653,0.4978855784077008,0.5365070286204545
"frozenset({'音樂節目', '電視節目', '電話服務'})","frozenset({'電影節目', '無限資料下載'})",0.15151515151515152,0.39113355780022446,0.12962962962962962,0.8555555555555555,2.187374461979914,1.0,0.07036696935686834,4.215229215229215,0.639764996907854,0.3138586956521739,0.7627649769585252,0.5934879642914076
"frozenset({'音樂節目', '電話服務'})","frozenset({'電影節目', '網路類型_Fiber Optic', '無限資料下載'})",0.21997755331088664,0.28619528619528617,0.13748597081930417,0.6250000000000001,2.1838235294117654,1.0,0.07452943199295614,1.903479236812571,0.6949640287769785,0.3729071537290715,0.47464622641509446,0.5526960784313726
frozenset({'音樂節目'}),"frozenset({'電影節目', '電話服務'})",0.2441077441077441,0.41301907968574636,0.21997755331088664,0.9011494252873563,2.1818590704647676,1.0,0.1191563974953425,5.938062798527914,0.7166037907367847,0.503209242618742,0.8315949100019779,0.7168790604697651
