郵遞區號,客戶數,流失數,平均營收,人口估計,滲透率,流失率
92028,43,26,2172.3088372093025,42239,0.10180165250124291,60.46511627906976
92027,38,15,3202.222631578947,48690,0.0780447730540152,39.473684210526315
92122,36,33,2057.0216666666665,34902,0.1031459515214028,91.66666666666666
92117,34,30,2337.745,51213,0.06638939331810283,88.23529411764706
92126,32,28,2407.7396875,74232,0.04310809354456299,87.5
92592,30,18,2653.4813333333336,46171,0.06497585064217799,60.0
92109,27,24,2106.4544444444446,46086,0.058586121598750165,88.88888888888889
92130,22,20,2647.7995454545458,28201,0.07801141803482146,90.9090909090909
92121,20,17,1410.1735,4258,0.4697040864255519,85.0
92129,16,15,2205.98875,47224,0.0338810774182619,93.75
91773,8,7,2162.09375,33878,0.023614144872778794,87.5
90712,7,6,2504.717142857143,30173,0.02319954926589998,85.71428571428571
91605,6,5,1113.9516666666666,57146,0.010499422531760753,83.33333333333334
90028,6,5,5000.546666666666,30568,0.01962836953677048,83.33333333333334
92084,5,1,1881.574,44692,0.011187684596795847,20.0
92086,5,0,3055.8579999999997,1205,0.4149377593360996,0.0
92107,5,0,7069.5,27959,0.01788332916055653,0.0
92111,5,2,3350.1760000000004,46828,0.010677372512172205,40.0
92113,5,2,2865.1240000000003,47431,0.01054162889249647,40.0
92230,5,1,3694.482,2355,0.21231422505307856,20.0
92231,5,1,924.936,27804,0.017983024025320097,20.0
92233,5,1,5020.214,7857,0.06363752068219422,20.0
92234,5,0,5557.7080000000005,43141,0.011589902876613893,0.0
92114,5,1,4253.474,66838,0.0074807744097669,20.0
92118,5,2,3814.446,24093,0.020752915784667744,40.0
92119,5,1,5179.839999999999,21866,0.0228665508094759,20.0
90032,5,1,3919.4700000000003,46960,0.010647359454855196,20.0
90077,5,0,4117.114,10470,0.04775549188156638,0.0
90201,5,0,3856.0480000000002,105285,0.004749014579474759,0.0
90210,5,0,4091.8979999999997,21397,0.02336776183577137,0.0
90211,5,1,2046.024,8321,0.06008893161879582,20.0
90212,5,0,1291.7099999999998,11355,0.044033465433729636,0.0
90220,5,0,3763.754,47305,0.010569707219110032,0.0
90221,5,2,1585.55,51387,0.009730087376184639,40.0
90222,5,0,3279.2520000000004,29825,0.016764459346186086,0.0
90230,5,2,661.3720000000001,31963,0.01564308731971342,40.0
90041,5,2,4206.818,27866,0.017943012990741403,40.0
90042,5,2,2937.2019999999998,64672,0.007731321128154379,40.0
90043,5,1,1826.798,44764,0.01116968992940756,20.0
90044,5,1,5387.404,87383,0.0057219367611549155,20.0
90045,5,1,2246.2120000000004,39334,0.012711648955102456,20.0
90046,5,0,3111.938,49839,0.01003230401894099,0.0
90047,5,1,2468.8460000000005,47107,0.01061413378054217,20.0
90249,5,0,2962.534,26442,0.018909310944709174,0.0
90250,5,1,3734.058,93315,0.005358195359802818,20.0
90254,5,3,1131.1100000000001,18693,0.02674798052747018,60.0
90255,5,3,1764.9959999999999,78114,0.006400901246895563,60.0
90260,5,2,2248.148,33300,0.015015015015015015,40.0
90262,5,2,2224.072,69850,0.0071581961345740875,40.0
